Timestamp,ECG
07/05/2018 10:47:18.422,2033
07/05/2018 10:47:18.426,2033
07/05/2018 10:47:18.430,2033
07/05/2018 10:47:18.434,2033
07/05/2018 10:47:18.438,2033
07/05/2018 10:47:18.442,2033
07/05/2018 10:47:18.446,2033
07/05/2018 10:47:18.450,2034
07/05/2018 10:47:18.454,2035
07/05/2018 10:47:18.458,2036
07/05/2018 10:47:18.462,2037
07/05/2018 10:47:18.466,2037
07/05/2018 10:47:18.470,2036
07/05/2018 10:47:18.474,2035
07/05/2018 10:47:18.478,2035
07/05/2018 10:47:18.482,2037
07/05/2018 10:47:18.486,2038
07/05/2018 10:47:18.490,2040
07/05/2018 10:47:18.494,2042
07/05/2018 10:47:18.498,2044
07/05/2018 10:47:18.502,2045
07/05/2018 10:47:18.506,2046
07/05/2018 10:47:18.510,2047
07/05/2018 10:47:18.514,2046
07/05/2018 10:47:18.518,2043
07/05/2018 10:47:18.522,2040
07/05/2018 10:47:18.526,2036
07/05/2018 10:47:18.530,2035
07/05/2018 10:47:18.534,2034
07/05/2018 10:47:18.538,2034
07/05/2018 10:47:18.542,2034
07/05/2018 10:47:18.546,2033
07/05/2018 10:47:18.550,2033
07/05/2018 10:47:18.554,2033
07/05/2018 10:47:18.558,2034
07/05/2018 10:47:18.562,2036
07/05/2018 10:47:18.566,2036
07/05/2018 10:47:18.570,2036
07/05/2018 10:47:18.574,2036
07/05/2018 10:47:18.578,2036
07/05/2018 10:47:18.582,2033
07/05/2018 10:47:18.586,2030
07/05/2018 10:47:18.590,2030
07/05/2018 10:47:18.594,2039
07/05/2018 10:47:18.598,2063
07/05/2018 10:47:18.602,2106
07/05/2018 10:47:18.606,2168
07/05/2018 10:47:18.610,2242
07/05/2018 10:47:18.614,2313
07/05/2018 10:47:18.618,2353
07/05/2018 10:47:18.622,2340
07/05/2018 10:47:18.626,2264
07/05/2018 10:47:18.630,2144
07/05/2018 10:47:18.634,2017
07/05/2018 10:47:18.638,1921
07/05/2018 10:47:18.642,1878
07/05/2018 10:47:18.646,1885
07/05/2018 10:47:18.650,1919
07/05/2018 10:47:18.654,1958
07/05/2018 10:47:18.658,1989
07/05/2018 10:47:18.662,2010
07/05/2018 10:47:18.666,2025
07/05/2018 10:47:18.670,2037
07/05/2018 10:47:18.674,2044
07/05/2018 10:47:18.678,2047
07/05/2018 10:47:18.682,2047
07/05/2018 10:47:18.686,2047
07/05/2018 10:47:18.690,2048
07/05/2018 10:47:18.694,2049
07/05/2018 10:47:18.698,2051
07/05/2018 10:47:18.702,2052
07/05/2018 10:47:18.706,2053
07/05/2018 10:47:18.710,2054
07/05/2018 10:47:18.714,2055
07/05/2018 10:47:18.718,2057
07/05/2018 10:47:18.722,2059
07/05/2018 10:47:18.726,2060
07/05/2018 10:47:18.730,2060
07/05/2018 10:47:18.734,2061
07/05/2018 10:47:18.738,2062
07/05/2018 10:47:18.742,2063
07/05/2018 10:47:18.746,2064
07/05/2018 10:47:18.750,2065
07/05/2018 10:47:18.754,2065
07/05/2018 10:47:18.758,2066
07/05/2018 10:47:18.762,2067
07/05/2018 10:47:18.766,2068
07/05/2018 10:47:18.770,2069
07/05/2018 10:47:18.774,2070
07/05/2018 10:47:18.778,2072
07/05/2018 10:47:18.782,2074
07/05/2018 10:47:18.786,2075
07/05/2018 10:47:18.790,2076
07/05/2018 10:47:18.794,2077
07/05/2018 10:47:18.798,2078
07/05/2018 10:47:18.802,2080
07/05/2018 10:47:18.806,2082
07/05/2018 10:47:18.810,2085
07/05/2018 10:47:18.814,2087
07/05/2018 10:47:18.818,2089
07/05/2018 10:47:18.822,2091
07/05/2018 10:47:18.826,2092
